PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
CATANIA;CT;A025;ACI BONACCORSI;0;0;0;0
CATANIA;CT;A026;ACI CASTELLO;0;0;0;0
CATANIA;CT;A027;ACI CATENA;0;0;0;0
CATANIA;CT;A029;ACI SANT'ANTONIO;0;0;0;0
CATANIA;CT;A028;ACIREALE;0;0;0;0
CATANIA;CT;A056;ADRANO;1;0;1;0
CATANIA;CT;A766;BELPASSO;1;0;1;0
CATANIA;CT;A841;BIANCAVILLA;1;0;1;0
CATANIA;CT;B202;BRONTE;2;0;1;1
CATANIA;CT;B384;CALATABIANO;0;0;0;0
CATANIA;CT;B428;CALTAGIRONE;2;0;1;1
CATANIA;CT;B561;CAMPOROTONDO ETNEO;1;0;1;0
CATANIA;CT;C091;CASTEL DI IUDICA;2;0;1;1
CATANIA;CT;C297;CASTIGLIONE DI SICILIA;2;0;1;1
CATANIA;CT;C351;CATANIA;0;0;0;0
CATANIA;CT;D623;FIUMEFREDDO DI SICILIA;0;0;0;0
CATANIA;CT;E017;GIARRE;0;0;0;0
CATANIA;CT;E133;GRAMMICHELE;1;0;1;0
CATANIA;CT;E156;GRAVINA DI CATANIA;0;0;0;0
CATANIA;CT;E578;LICODIA EUBEA;2;0;1;1
CATANIA;CT;E602;LINGUAGLOSSA;2;0;1;1
CATANIA;CT;E854;MALETTO;2;0;1;1
CATANIA;CT;M283;MANIACE;2;0;1;1
CATANIA;CT;F004;MASCALI;0;0;0;0
CATANIA;CT;F005;MASCALUCIA;0;0;0;0
CATANIA;CT;M271;MAZZARRONE;2;0;1;1
CATANIA;CT;F209;MILITELLO IN VAL DI CATANIA;2;0;1;1
CATANIA;CT;F214;MILO;1;0;0;1
CATANIA;CT;F217;MINEO;2;0;1;1
CATANIA;CT;F231;MIRABELLA IMBACCARI;1;0;1;0
CATANIA;CT;F250;MISTERBIANCO;1;0;1;0
CATANIA;CT;F781;MOTTA SANT'ANASTASIA;1;0;1;0
CATANIA;CT;F890;NICOLOSI;0;0;0;0
CATANIA;CT;G253;PALAGONIA;1;0;1;0
CATANIA;CT;G371;PATERNO';1;0;1;0
CATANIA;CT;G402;PEDARA;0;0;0;0
CATANIA;CT;G597;PIEDIMONTE ETNEO;1;0;0;1
CATANIA;CT;H154;RADDUSA;2;0;1;1
CATANIA;CT;M287;RAGALNA;2;0;1;1
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
CATANIA;CT;H168;RAMACCA;2;0;1;1
CATANIA;CT;H175;RANDAZZO;2;0;1;1
CATANIA;CT;H325;RIPOSTO;0;0;0;0
CATANIA;CT;H805;SAN CONO;1;0;1;0
CATANIA;CT;H922;SAN GIOVANNI LA PUNTA;0;0;0;0
CATANIA;CT;H940;SAN GREGORIO DI CATANIA;0;0;0;0
CATANIA;CT;I035;SAN MICHELE DI GANZARIA;2;0;1;1
CATANIA;CT;I098;SAN PIETRO CLARENZA;1;0;1;0
CATANIA;CT;I240;SANTA MARIA DI LICODIA;1;0;1;0
CATANIA;CT;I314;SANTA VENERINA;0;0;0;0
CATANIA;CT;I202;SANT'AGATA LI BATTIATI;1;0;1;0
CATANIA;CT;I216;SANT'ALFIO;2;0;1;1
CATANIA;CT;I548;SCORDIA;1;0;1;0
CATANIA;CT;L355;TRECASTAGNI;0;0;0;0
CATANIA;CT;L369;TREMESTIERI ETNEO;1;0;1;0
CATANIA;CT;L658;VALVERDE;0;0;0;0
CATANIA;CT;L828;VIAGRANDE;0;0;0;0
CATANIA;CT;M100;VIZZINI;2;0;1;1
CATANIA;CT;M139;ZAFFERANA ETNEA;2;0;1;1
ENNA;EN;A070;AGIRA;2;0;1;1
ENNA;EN;A098;AIDONE;2;0;1;1
ENNA;EN;A478;ASSORO;2;0;1;1
ENNA;EN;A676;BARRAFRANCA;1;0;1;0
ENNA;EN;B381;CALASCIBETTA;2;0;1;1
ENNA;EN;C353;CATENANUOVA;1;0;1;0
ENNA;EN;C471;CENTURIPE;2;0;1;1
ENNA;EN;C480;CERAMI;2;0;1;1
ENNA;EN;C342;ENNA;2;0;1;1
ENNA;EN;D849;GAGLIANO CASTELFERRATO;2;0;1;1
ENNA;EN;E536;LEONFORTE;2;0;1;1
ENNA;EN;F892;NICOSIA;2;0;1;1
ENNA;EN;F900;NISSORIA;2;0;1;1
ENNA;EN;G580;PIAZZA ARMERINA;2;0;1;1
ENNA;EN;G624;PIETRAPERZIA;2;0;1;1
ENNA;EN;H221;REGALBUTO;2;0;1;1
ENNA;EN;I891;SPERLINGA;2;0;1;1
ENNA;EN;L448;TROINA;2;0;1;1
ENNA;EN;L583;VALGUARNERA CAROPEPE;1;0;1;0
ENNA;EN;M011;VILLAROSA;2;0;1;1
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
SIRACUSA;SR;A494;AUGUSTA;0;0;0;0
SIRACUSA;SR;A522;AVOLA;0;0;0;0
SIRACUSA;SR;B237;BUCCHERI;2;0;1;1
SIRACUSA;SR;B287;BUSCEMI;2;0;1;1
SIRACUSA;SR;B603;CANICATTINI BAGNI;1;0;1;0
SIRACUSA;SR;B787;CARLENTINI;2;0;1;1
SIRACUSA;SR;C006;CASSARO;2;0;1;1
SIRACUSA;SR;D540;FERLA;2;0;1;1
SIRACUSA;SR;D636;FLORIDIA;1;0;1;0
SIRACUSA;SR;D768;FRANCOFONTE;1;0;1;0
SIRACUSA;SR;E532;LENTINI;2;0;1;1
SIRACUSA;SR;F107;MELILLI;2;0;1;1
SIRACUSA;SR;F943;NOTO;1;0;0;1
SIRACUSA;SR;G211;PACHINO;0;0;0;0
SIRACUSA;SR;G267;PALAZZOLO ACREIDE;2;0;1;1
SIRACUSA;SR;M257;PORTOPALO DI CAPO PASSERO;0;0;0;0
SIRACUSA;SR;M279;PRIOLO GARGALLO;1;0;1;0
SIRACUSA;SR;H574;ROSOLINI;1;0;1;0
SIRACUSA;SR;I754;SIRACUSA;0;0;0;0
SIRACUSA;SR;I785;SOLARINO;0;0;0;0
SIRACUSA;SR;I864;SORTINO;2;0;1;1
TRAPANI;TP;A176;ALCAMO;0;0;0;0
TRAPANI;TP;B288;BUSETO PALIZZOLO;2;0;1;1
TRAPANI;TP;B385;CALATAFIMI-SEGESTA;2;0;1;1
TRAPANI;TP;B521;CAMPOBELLO DI MAZARA;1;0;1;0
TRAPANI;TP;C130;CASTELLAMMARE DEL GOLFO;1;0;0;1
TRAPANI;TP;C286;CASTELVETRANO;1;0;0;1
TRAPANI;TP;D234;CUSTONACI;1;0;0;1
TRAPANI;TP;D423;ERICE;0;0;0;0
TRAPANI;TP;D518;FAVIGNANA;2;1;0;1
TRAPANI;TP;E023;GIBELLINA;2;0;1;1
TRAPANI;TP;E974;MARSALA;0;0;0;0
TRAPANI;TP;F061;MAZARA DEL VALLO;1;0;1;0
TRAPANI;TP;G208;PACECO;1;0;1;0
TRAPANI;TP;G315;PANTELLERIA;2;1;0;1
TRAPANI;TP;G347;PARTANNA;2;0;1;1
TRAPANI;TP;M281;PETROSINO;0;0;0;0
TRAPANI;TP;G767;POGGIOREALE;2;0;1;1
TRAPANI;TP;H688;SALAPARUTA;2;0;1;1
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
TRAPANI;TP;H700;SALEMI;2;0;1;1
TRAPANI;TP;I407;SAN VITO LO CAPO;1;0;0;1
TRAPANI;TP;I291;SANTA NINFA;2;0;1;1
TRAPANI;TP;L331;TRAPANI;0;0;0;0
TRAPANI;TP;G319;VALDERICE;0;0;0;0
TRAPANI;TP;M081;VITA;1;0;1;0
TRAPANI;TP;M432;MISILISCEMI;2;0;1;1
CALTANISSETTA;CL;A049;ACQUAVIVA PLATANI;2;0;1;1
CALTANISSETTA;CL;A957;BOMPENSIERE;2;0;1;1
CALTANISSETTA;CL;B302;BUTERA;2;0;1;1
CALTANISSETTA;CL;B429;CALTANISSETTA;2;0;1;1
CALTANISSETTA;CL;B537;CAMPOFRANCO;2;0;1;1
CALTANISSETTA;CL;D267;DELIA;1;0;1;0
CALTANISSETTA;CL;D960;GELA;1;0;1;0
CALTANISSETTA;CL;E953;MARIANOPOLI;2;0;1;1
CALTANISSETTA;CL;F065;MAZZARINO;2;0;1;1
CALTANISSETTA;CL;E618;MILENA;2;0;1;1
CALTANISSETTA;CL;F489;MONTEDORO;2;0;1;1
CALTANISSETTA;CL;F830;MUSSOMELI;2;0;1;1
CALTANISSETTA;CL;F899;NISCEMI;1;0;1;0
CALTANISSETTA;CL;H245;RESUTTANO;2;0;1;1
CALTANISSETTA;CL;H281;RIESI;1;0;1;0
CALTANISSETTA;CL;H792;SAN CATALDO;1;0;1;0
CALTANISSETTA;CL;I169;SANTA CATERINA VILLARMOSA;2;0;1;1
CALTANISSETTA;CL;I644;SERRADIFALCO;2;0;1;1
CALTANISSETTA;CL;I824;SOMMATINO;1;0;1;0
CALTANISSETTA;CL;L016;SUTERA;2;0;1;1
CALTANISSETTA;CL;L609;VALLELUNGA PRATAMENO;2;0;1;1
CALTANISSETTA;CL;L959;VILLALBA;2;0;1;1
PALERMO;PA;A195;ALIA;2;0;1;1
PALERMO;PA;A202;ALIMENA;2;0;1;1
PALERMO;PA;A203;ALIMINUSA;2;0;1;1
PALERMO;PA;A229;ALTAVILLA MILICIA;0;0;0;0
PALERMO;PA;A239;ALTOFONTE;1;0;1;0
PALERMO;PA;A546;BAGHERIA;0;0;0;0
PALERMO;PA;A592;BALESTRATE;0;0;0;0
PALERMO;PA;A719;BAUCINA;2;0;1;1
PALERMO;PA;A764;BELMONTE MEZZAGNO;1;0;1;0
PALERMO;PA;A882;BISACQUINO;2;0;1;1
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
PALERMO;PA;M268;BLUFI;2;0;1;1
PALERMO;PA;A946;BOLOGNETTA;2;0;1;1
PALERMO;PA;A958;BOMPIETRO;2;0;1;1
PALERMO;PA;A991;BORGETTO;1;0;1;0
PALERMO;PA;B315;CACCAMO;2;0;1;1
PALERMO;PA;B430;CALTAVUTURO;2;0;1;1
PALERMO;PA;B533;CAMPOFELICE DI FITALIA;2;0;1;1
PALERMO;PA;B532;CAMPOFELICE DI ROCCELLA;0;0;0;0
PALERMO;PA;B535;CAMPOFIORITO;2;0;1;1
PALERMO;PA;B556;CAMPOREALE;2;0;1;1
PALERMO;PA;B645;CAPACI;0;0;0;0
PALERMO;PA;B780;CARINI;0;0;0;0
PALERMO;PA;C067;CASTELBUONO;2;0;1;1
PALERMO;PA;C074;CASTELDACCIA;0;0;0;0
PALERMO;PA;C135;CASTELLANA SICULA;2;0;1;1
PALERMO;PA;C344;CASTRONOVO DI SICILIA;2;0;1;1
PALERMO;PA;C420;CEFALA' DIANA;2;0;1;1
PALERMO;PA;C421;CEFALU';0;0;0;0
PALERMO;PA;C496;CERDA;2;0;1;1
PALERMO;PA;C654;CHIUSA SCLAFANI;2;0;1;1
PALERMO;PA;C696;CIMINNA;2;0;1;1
PALERMO;PA;C708;CINISI;0;0;0;0
PALERMO;PA;C871;COLLESANO;2;0;1;1
PALERMO;PA;C968;CONTESSA ENTELLINA;2;0;1;1
PALERMO;PA;D009;CORLEONE;2;0;1;1
PALERMO;PA;D567;FICARAZZI;0;0;0;0
